period,time,HR,BR,activity,skin,ambulation,drink,drinkactivity,drinking,Positive,Negative,Fear,Hostility,Sadness
4/8/2015,20.0514,NaN,NaN,1058.067959,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0528,NaN,NaN,1057.587133,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0542,NaN,NaN,1058.228726,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0556,NaN,NaN,1058.718888,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0569,NaN,NaN,1058.183291,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0583,NaN,NaN,1057.894031,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0597,NaN,NaN,1058.387689,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0611,NaN,NaN,1058.583136,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0625,NaN,NaN,1058.083876,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0639,NaN,NaN,1057.429309,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0653,NaN,NaN,1058.101395,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0667,NaN,NaN,1058.101789,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0681,NaN,NaN,1057.531043,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0694,NaN,NaN,1057.439863,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0708,NaN,NaN,1057.316372,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0722,NaN,NaN,1057.487092,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0736,NaN,NaN,1058.158461,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.075,NaN,NaN,1055.893856,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0764,NaN,NaN,1058.500175,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0778,NaN,NaN,1055.018227,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0792,NaN,NaN,1061.437331,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0806,NaN,NaN,1051.304825,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0819,NaN,NaN,1067.897826,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,20.0833,NaN,NaN,1042.857927,NaN,Stationary,0,0,0,0,0,0,0,0
