Data from Yahoo Finance: https://developer.yahoo.com/yql/
ORCL,37.85
ORLY,267.52
OXY,70.525
PAYX,52.38
PBCT,15.455
PBI,19.20
PCAR,54.02
PCG,56.31
PCLN,1305.00
PDCO,44.64
PEG,43.90
PEP,99.17
PFE,29.885
PFG,39.17
PG,82.89
PGR,33.49
PH,106.58
PHM,18.18
PKI,48.97
PLD,41.015
PM,93.1565
PNC,86.445
PNR,51.00
PNW,68.355
POM,23.19
PPG,100.25
PPL,35.235
PRGO,126.24
PRU,71.9101
PSA,252.97
PSX,86.09
PVH,85.37
PWR,21.50
PX,105.755
PXD,128.40
PYPL,39.11
QCOM,52.455
QRVO,48.965
R,60.21
RAI,51.22
RCL,75.65
REGN,400.33
RF,8.235
RHI,41.645
RHT,68.61
RIG,10.86
RL,95.74
ROK,106.96
ROP,172.40
ROST,57.7803
RRC,30.86
RSG,47.22
RTN,124.89
SBUX,58.915
SCG,65.07
SCHW,27.11
SE,30.22
SEE,46.39
SHW,271.47
SIG,112.50
SJM,128.42
SLB,74.78
SLG,95.34
SNA,153.93
SNDK,75.72
SNI,62.915
SO,48.14
SPG,197.05
SPLS,9.845
SRCL,115.58
SRE,98.56
STI,36.49
STJ,55.035
STT,57.96
STX,34.82
SWK,97.56
SWKS,70.10
SWN,7.46
SYF,28.505
SYK,102.83
SYMC,20.585
SYY,44.995
T,37.99
TAP,88.29
TDC,26.4699
TE,27.48
TEL,60.405
TGNA,25.035
TGT,79.87
THC,28.00
TIF,69.275
TJX,75.09
TMK,53.31
TMO,138.8601
TRIP,65.475
TROW,72.13
TRV,109.77
TSCO,86.07
TSN,66.055
TSO,85.84
TSS,45.91
TWC,194.51
TWX,68.88
TXN,54.88
TXT,33.74
TYC,36.065
UA,83.00
UAL,58.665
UHS,117.51
UNH,121.6953
UNM,30.89
UNP,80.29
UPS,99.71
URBN,27.35
URI,56.58
USB,40.75
UTX,96.04
V,73.715
VAR,79.09
VFC,66.34
VIAB,39.1201
VLO,63.765
VMC,102.495
VNO,91.00
VRSK,76.08
VRSN,88.64
VRTX,89.44
VTR,56.81
VZ,51.905
WAT,126.52
WBA,79.85
WDC,48.98
WEC,56.445
WFC,49.665
WFM,32.705
WHR,158.015
WLTW,116.80
WM,57.30
WMB,18.10
WMT,66.08
WRK,37.57
WU,19.09
WY,27.27
WYN,75.71
WYNN,88.515
XEC,88.295
XEL,39.575
XL,35.905
XLNX,47.80
XOM,82.33
XRAY,60.765
XRX,10.42
XYL,38.085
YHOO,32.86
YUM,76.30
ZBH,99.00
ZION,23.50
ZTS,41.06
